id,submission_time,view_number,vote_number,title,message,image
0,1493368154,180,36,How to make lists in Python?,"I am totally new to this, any hints?
jaofijaséoioasf
{{Edited}}<br>{{Edited}}",
1,1493068124,30,11,Wordpress loading multiple jQuery Versions,"I developed a plugin that uses the jquery booklet plugin (http://builtbywill.com/booklet/#/) this plugin binds a function to $ so I cann call $('.myBook').booklet();

I could easy managing the loading order with wp_enqueue_script so first I load jquery then I load booklet so everything is fine.

BUT in my theme i also using jquery via webpack so the loading order is now following:

jquery
booklet
app.js (bundled file with webpack, including jquery)<br>{{Edited}}<br>{{Edited}}",images/image1.png
3,2019-01-23 14:33:19.733970,20,0,ékg,ljhg,image
4,2019-01-23 15:02:39.046642,17,5,.jhkvljhg,ljhgfljhgf,image
5,2019-01-23 15:09:34.003286,9,3,ékgjéikg,ékhgéhigéhig,image
6,2019-01-23 20:26:49.704446,12,3,a new question,"how this works

as time is running short.",image
7,2019-01-23 20:59:17.774766,14,0,lkjhgékhg,"ékhvékhbékh
kdjgbdflkjgbhfdégkbhj",image
8,2019-01-24 13:04:49.248120,2,0,mivaan,"hello
",image
9,1548441449,2,0,pájapjfasjdoiaj,fjafsljalsdjajsdlajsdljadjasd,image
10,1548443263,1,0,nhfmgffhg,dhndnhfjhnth,image
5,1548356088,35,0,this is working,very fuckin well..,image
8,1548356218,9,0,éohéh,lkjhéih,image
9,1548356248,10,8,liugpigéhjvljh,fv.v.gvlhvé.kgbiég,image
10,1548371981,18,6,éifgadvg,"ájghájháháoháojgájgáljháug
{{Edited}}",image
11,1548373063,1,0,éihuéohéh,éjhéhASDASDASD,image
12,1548436238,10,4,how are you?,"how have you been feeling lately on a scale of 1 to 10, 1 being depressed 10 being happylsiezfhső9uherg
ydékbygjdrgh
{{Edited}}",image
13,1549355783,1,0,ljhvéjhfg,ljhgéigpizfpizfpizg,image
